Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,Customer_Days,marital_Divorced,marital_Married,marital_Single,marital_Together,marital_Widow,education_2n Cycle,education_Basic,education_Graduation,education_Master,education_PhD,MntTotal,MntRegularProds,AcceptedCmpOverall,Marital_Status,Education,Total_Spent,Cluster,PCA1,PCA2
58138.0,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,63,2822,0,0,1,0,0,0,0,1,0,0,1529,1441,0,Single,Graduation,1617,3,4.014494221655129,-0.4134950417735141
46344.0,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,66,2272,0,0,1,0,0,0,0,1,0,0,21,15,0,Single,Graduation,27,0,-2.2761645227004634,-0.6278624024308572
71613.0,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,55,2471,0,0,0,1,0,0,0,1,0,0,734,692,0,Together,Graduation,776,1,1.6567417321992848,0.1062980521163187
26646.0,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,36,2298,0,0,0,1,0,0,0,1,0,0,48,43,0,Together,Graduation,53,0,-2.3631890828731974,-0.4041357936106322
58293.0,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,39,2320,0,1,0,0,0,0,0,0,0,1,407,392,0,Married,PhD,422,2,0.05184536017018443,0.8940542526486247
62513.0,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,53,2452,0,0,0,1,0,0,0,0,1,0,702,688,0,Together,Master,716,2,0.9241751090571507,0.5399354940360891
55635.0,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,49,2752,1,0,0,0,0,0,0,1,0,0,563,536,0,Divorced,Graduation,590,2,0.836426169662122,0.6981631471453374
33454.0,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,35,2576,0,1,0,0,0,0,0,0,0,1,146,123,0,Married,PhD,169,0,-1.8578143138552063,0.009748143702174972
30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,46,2547,0,0,0,1,0,0,0,0,0,1,44,42,0,Together,PhD,46,0,-2.4655483886574148,-0.6822516502137316
5648.0,1,1,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,70,2267,0,0,0,1,0,0,0,0,0,1,36,23,1,Together,PhD,49,0,-3.2680780128673006,-1.046461733952971
7500.0,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,44,2752,0,1,0,0,0,0,1,0,0,0,45,29,0,Married,Basic,61,0,-2.6651080571171892,-0.8409067802748068
63033.0,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,61,2385,1,0,0,0,0,0,0,1,0,0,1072,1042,0,Divorced,Graduation,1102,3,2.770909447127564,-2.334487986083454
59354.0,1,1,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,68,2385,1,0,0,0,0,0,0,0,1,0,296,282,0,Divorced,Master,310,2,-0.9271673782517665,0.8785529944013346
17323.0,0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,33,2786,0,1,0,0,0,0,0,1,0,0,41,36,0,Married,Graduation,46,0,-2.676708775887356,-1.030680991841435
82800.0,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,74,2741,0,0,1,0,0,0,0,0,0,1,1270,1225,2,Single,PhD,1315,1,2.8706728094966505,0.5794774994143943
41850.0,1,1,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,40,2711,0,1,0,0,0,0,0,1,0,0,92,88,0,Married,Graduation,96,0,-2.0438543229318746,0.08151009863164646
37760.0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,74,2826,0,0,0,1,0,0,0,1,0,0,289,261,0,Together,Graduation,317,0,-0.5764634088811718,-0.49683463277475126
76995.0,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,71,2617,0,1,0,0,0,0,0,0,1,0,1606,1430,1,Married,Master,1782,1,3.552305178229498,1.733092514210686
33812.0,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,35,2762,0,0,1,0,0,1,0,0,0,0,94,55,0,Single,2n Cycle,133,0,-1.6770866382462126,-0.6151004287444273
37040.0,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,38,2849,0,1,0,0,0,0,0,1,0,0,268,220,0,Married,Graduation,316,0,-0.682301999425587,-0.6497246472363891
2447.0,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,41,2698,0,1,0,0,0,0,0,1,0,0,1729,1728,0,Married,Graduation,1730,1,2.5039881929088947,2.378473911328311
58607.0,0,1,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,71,2712,0,1,0,0,0,0,0,0,0,1,953,934,1,Married,PhD,972,2,-0.02956221507558402,0.8715470874430269
65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,66,2328,0,1,0,0,0,0,0,0,0,1,539,534,0,Married,PhD,544,2,0.15969470093681426,0.9306642082818611
